NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Total,Avg,TM SNAP %,TD
"Aldon Smith","DE","DAL","",54,61,60,54,57,41,42,40,50,"",36,51,41,50,59,53,45,809,50,73.21,2
"Eric Rowe","SS","MIA",1,54,37,48,50,55,71,"",87,69,60,59,52,41,62,55,64,55,919,57,88.96,
"Germaine Pratt","ML","CIN",1,54,43,52,43,36,37,38,34,"",43,27,45,40,40,45,39,60,686,42,64.78,
"Melvin Ingram III","DE","LAC",2,54,68,"","","","",43,48,44,49,55,"","","","","","",361,51,34.85,
"Patrick Queen","LB","BAL",1,54,"",47,"",52,63,"",53,58,56,43,66,52,63,47,60,29,858,53,80.56,
"Sione Takitaki","ML","CLE",1,54,41,41,29,15,21,12,21,"",17,15,"",25,28,21,50,38,434,28,40.3,
"Tracy Walker III","FS","DET",1,54,39,65,70,"",56,66,77,"",36,27,27,30,28,13,77,80,755,50,67.23,
"Chase Young","DE","WAS",1,53,55,13,"",45,44,46,"",64,"",39,"","","","",82,"",769,51,73.66,
"Frank Clark","DE","KC",1,53,36,45,61,59,47,51,38,71,"",39,47,52,52,44,46,"",1047,65,65.4,
"Josh Bynes","IL","CIN","",53,50,66,47,39,37,38,38,"",51,38,60,48,35,43,40,62,760,47,71.77,
"Michael Brockers","DE","LAR",1,53,47,40,35,31,60,32,37,"",36,46,54,30,32,51,40,"",624,41,60.94,
"Samson Ebukam","LB","LAR",2,53,38,30,21,5,21,16,19,"",15,29,33,24,16,16,14,13,363,22,35.45,
"Adrian Amos","FS","GB",1,52,54,61,70,"",65,68,52,46,64,61,68,62,68,69,52,75,1008,63,98.15,
"Arik Armstead","DE","SF",1,52,46,33,48,54,50,30,53,44,40,"",43,49,52,48,"",46,749,46,72.3,
"Carlos Dunlap II","DE","CIN",3,52,30,75,51,29,28,12,"",46,51,51,38,23,"",26,45,36,46,3,7.5,
"Chris Jones","DT","KC",1,52,75,39,"",51,41,40,41,67,"",35,46,48,59,36,49,1,1047,65,65.4,
"Christian Kirksey","LB","GB",1,52,59,17,"","","","","","",64,61,68,62,46,49,12,35,548,49,53.36,
"Clelin Ferrell","DE","OAK",2,52,38,46,35,37,"",38,36,57,49,"","",52,7,"","","",461,41,42.33,
"Daron Payne","DT","WAS",1,52,47,55,47,59,45,46,"",63,54,45,51,58,72,49,62,59,880,55,84.29,
"Derek Wolfe","DE","BAL",1,52,30,45,"",33,"","",27,51,49,41,58,64,56,35,39,26,623,44,58.5,
"Shamar Stephen","DT","MIN",2,52,40,49,37,24,44,"",43,37,30,36,43,40,29,52,53,41,662,41,61.64,
"Will Harris","SS","DET",1,52,49,19,22,"",1,6,2,17,4,10,23,9,10,16,35,33,312,19,27.78,
"Jahlani Tavai","ILB","DET","",51,59,58,9,"",24,43,37,22,11,28,37,33,41,31,62,68,624,39,55.57,
"Ja'Whaun Bentley","IL","NE",2,51,63,47,46,"",61,56,35,"","",32,61,25,51,16,"",53,464,35,69.15,
"Justin Jones","DT","LAC",1,51,20,"","","","",33,33,41,45,34,44,39,34,49,63,40,526,40,50.77,
"Keanu Neal","FS","ATL",2,51,64,68,"",58,55,55,54,73,"",47,55,70,73,54,63,59,919,61,85.01,
"Kevin King","CB","GB",1,51,53,61,30,"","","","","","",61,66,59,66,69,52,74,664,60,64.65,
"Maxx Crosby","DE","OAK",1,51,45,42,47,48,"",51,41,69,49,50,68,58,58,61,51,78,905,56,83.1,
"Nate Hairston","CB","NYJ","",51,"","","","","","","","","","","","","",16,12,"",51,10,4.48,
"Rasul Douglas","CB","CAR","",51,53,78,57,65,65,"","",62,71,40,73,"",21,44,70,56,821,58,77.53,
"Alex Anzalone","ML","NO",1,50,57,54,59,71,"",38,44,22,1,11,8,9,"",10,26,61,1024,64,64,
"Cameron Heyward","DT","PIT",1,50,61,37,"",48,48,50,75,64,50,27,48,67,64,50,58,"",806,53,78.63,
